DE Glut,DE GABA,DE
Abhd6,Abhd6,Abhd6
Adcyap1,Adk,Adcyap1
Adk,Akap5,Adk
Adora1,Alcam,Adora1
Alcam,Atf4,Alcam
Atp1b2,Atp1b2,Atp1b2
Baiap2,Atp2a2,Baiap2
Cacnb4,Atp2c1,Cacnb4
Cacng3,Baiap2,Cacng3
Calb1,Cacng2,Calb1
Cd81,Cacng3,Cd81
Cdh10,Cadm1,Cdh10
Cdh13,Calb1,Cdh13
Cdh8,Calb2,Cdh8
Celf4,Car2,Celf4
Cfl1,Cd164,Cfl1
Cnr1,Cd200,Cnr1
Cplx2,Cd81,Cplx2
Cspg5,Cdh13,Cspg5
Cx3cl1,Cdh9,Cx3cl1
Cyld,Celf4,Cyld
Cyp46a1,Chrna4,Cyp46a1
Dab1,Clstn2,Dab1
Dgkb,Cnih2,Dgkb
Dnm1,Cnr1,Dnm1
Egln1,Cntn5,Egln1
Epha4,Cntnap4,Epha4
Ephb6,Coro1a,Ephb6
Fat3,Cplx1,Fat3
Fez1,Cplx2,Fez1
Flrt3,Crh,Flrt3
Gnas,Cx3cl1,Gnas
Gria4,Dscam,Gria4
Grin2b,Dtnbp1,Grin2b
Grm2,Dusp10,Grm2
Grm3,Egr1,Grm3
Grm5,Erbb4,Grm5
Gucy1a3,Fabp5,Gucy1a3
Gucy1b3,Fez1,Gucy1b3
Itpka,Flot1,Itpka
Map1a,Flot2,Map1a
Mapk1,Flrt3,Mapk1
Ncdn,Gabbr1,Ncdn
Ndfip1,Glra3,Ndfip1
Nrn1,Gnai1,Nrn1
Nsg1,Gnai2,Nsg1
Pde4a,Gria4,Pde4a
Plcb4,Grik3,Plcb4
Plk2,Grin3a,Plk2
Podxl2,Grm1,Podxl2
Ppp3ca,Grm7,Ppp3ca
Ppp3r1,Gucy1a3,Ppp3r1
Prkca,Gucy1b3,Prkca
Ptk2b,Igf1,Ptk2b
Ptprd,Il1rap,Ptprd
Pvrl3,Il1rapl1,Pvrl3
Rab3a,Kcnc4,Rab3a
Rasgrf2,Lgals1,Rasgrf2
Rgs4,Lgi1,Rgs4
Robo2,Lgmn,Robo2
S100b,Lrfn5,S100b
Snap47,Lrrc4,Snap47
Snca,Lrrc4c,Snca
Sparcl1,Lrrc7,Sparcl1
Stx1a,Lrrtm1,Stx1a
Stxbp1,Lrrtm2,Stxbp1
Syn1,Map1a,Syn1
Syngr1,Map2k1,Syngr1
Syp,Mapk1,Syp
Syt1,Mef2c,Syt1
Tenm1,Mgll,Tenm1
Vamp2,Ncam1,Vamp2
Vstm2l,Ndfip1,Vstm2l
Ywhag,Negr1,Ywhag
Zdhhc2,Neto1,Zdhhc2
Abat,Ngf,Abat
Adcy1,Nos1,Adcy1
Akap5,Nrxn3,Akap5
Akap7,Oxtr,Akap7
Apba2,Pacsin2,Apba2
Arc,Pak1,Arc
Atp2a2,Pcdh18,Atp2a2
Bcl6,Pde5a,Bcl6
Bdnf,Pfn2,Bdnf
Cacnb3,Plcb4,Cacnb3
Cadm1,Pnkd,Cadm1
Camk2d,Podxl2,Camk2d
Car11,Ppp3ca,Car11
Cbfb,Ppp3r1,Cbfb
Cd200,Prdx2,Cd200
Cd34,Prkca,Cd34
Cdh12,Prkcb,Cdh12
Cdk5r1,Prkcg,Cdk5r1
Celsr2,Prrt2,Celsr2
Chrna4,Ptn,Chrna4
Coro1a,Ptprd,Coro1a
Cpeb3,Ptpru,Cpeb3
Cplx1,Rab3a,Cplx1
Ctnnd2,Reln,Ctnnd2
Cyfip2,Rgcc,Cyfip2
Dbn1,Rgs4,Dbn1
Dgkz,Rims2,Dgkz
Dmtn,Rims3,Dmtn
Dusp3,Serpine2,Dusp3
Efr3a,Shank1,Efr3a
Egr1,Shisa6,Egr1
Egr3,Shisa9,Egr3
Elmo2,Slc24a2,Elmo2
Fabp5,Slc6a1,Fabp5
Flot2,Slit2,Flot2
Gipc1,Snca,Gipc1
Grm8,Sparcl1,Grm8
Gsk3b,Sqstm1,Gsk3b
H2-DMa,Syt1,H2-DMa
H2-T23,Syt4,H2-T23
Hnrnpk,Tac1,Hnrnpk
Hsp90aa1,Tac2,Hsp90aa1
Icam5,Tenm1,Icam5
Kcnh1,Tmem25,Kcnh1
Kcnn2,Unc13c,Kcnn2
Kctd13,Vgf,Kctd13
Kifap3,Abat,Kifap3
Lrrc4c,Abr,Lrrc4c
Lrrtm1,Adcy1,Lrrtm1
Map2k1,Akap7,Map2k1
Mapk14,Ank3,Mapk14
Mef2c,Asic1,Mef2c
Mgll,Bsg,Mgll
Neto1,Cacng5,Neto1
Neu1,Camk2a,Neu1
Nrcam,Camk2b,Nrcam
Nrgn,Cckbr,Nrgn
Nrxn1,Cd24a,Nrxn1
Nrxn3,Cd47,Nrxn3
Ntng1,Cdh10,Ntng1
Pcdh10,Cdh6,Pcdh10
Pcdh17,Cdh8,Pcdh17
Pik3r1,Cfl1,Pik3r1
Pip5k1c,Chat,Pip5k1c
Pnkd,Chrna5,Pnkd
Pnn,Cited2,Pnn
Ppia,Cntn6,Ppia
Prdx2,Cplx3,Prdx2
Prepl,Ctnnb1,Prepl
Prkar1b,Cxadr,Prkar1b
Prkar2b,Cyfip1,Prkar2b
Prkce,Cyp46a1,Prkce
Prkcg,Dab1,Prkcg
Prkcz,Dap3,Prkcz
Prnp,Dbi,Prnp
Prrt2,Dgkb,Prrt2
Ptgs2,Dlg2,Ptgs2
Ptk2,Dlgap2,Ptk2
Ptn,Dnm1,Ptn
Ptpn5,Efr3a,Ptpn5
Rac1,Egfr,Rac1
Rap1b,Epha4,Rap1b
Rap1gap,Fndc3a,Rap1gap
Rasgrf1,Fut9,Rasgrf1
Rasgrp1,Gria1,Rasgrp1
Rgs14,Gria2,Rgs14
Rims3,Grik1,Rims3
Selk,Grik2,Selk
Serpinb8,Grin2b,Serpinb8
Serpine2,Grm8,Serpine2
Sh3gl1,Gstp1,Sh3gl1
Sorcs3,Hap1,Sorcs3
Spint2,Hrh2,Spint2
Sqstm1,Htr2c,Sqstm1
Synpo,Kcnn2,Synpo
Thy1,Kit,Thy1
Tmem108,Magi1,Tmem108
Tprgl,Mllt4,Tprgl
Ttyh1,Npy2r,Ttyh1
Tyro3,Npy5r,Tyro3
Unc5d,Nr2e1,Unc5d
Wnt4,Nr3c2,Wnt4
Xbp1,Nrxn1,Xbp1
Abr,Ntrk2,Abr
Camk2a,Paip2,Camk2a
Cd47,Pcdh10,Cd47
Cdh11,Pcdh20,Cdh11
Cdh22,Pcdh8,Cdh22
Cdh9,Pik3r1,Cdh9
Chrna5,Plk2,Chrna5
Dtnbp1,Pnn,Dtnbp1
Epha7,Prkar2b,Epha7
Fut9,Ptpn5,Fut9
Gcnt2,Ptprm,Gcnt2
Glul,Rab5a,Glul
Grik3,Rasgrf2,Grik3
Grm7,Rasgrp1,Grm7
Hsph1,Rock1,Hsph1
Htr2a,Sirpa,Htr2a
Igsf21,Slc1a1,Igsf21
Il1rapl1,Snap25,Il1rapl1
Jup,Socs5,Jup
Lrfn5,Sorcs3,Lrfn5
Lrrtm2,Spint2,Lrrtm2
Mctp1,Syt3,Mctp1
Nlgn1,Tfrc,Nlgn1
Nsmf,Thy1,Nsmf
Paip2,Vstm2l,Paip2
Pak1,Wnt5a,Pak1
Ppfia2,Wnt7a,Ppfia2
Prkcb,Zbtb16,Prkcb
Ptprs,Zmiz1,Ptprs
Ptprt,Amigo1,Ptprt
Rapgef4,Bscl2,Rapgef4
Slc24a2,Chrm2,Slc24a2
Stxbp5l,Clstn3,Stxbp5l
Syne1,Ctnnd2,Syne1
Syt4,Epha7,Syt4
Tmem47,Ephb6,Tmem47
Tnfrsf21,Myadm,Tnfrsf21
Usp46,Ncdn,Usp46
Cadm3,Nlgn1,Cadm3
Cd83,Parva,Cd83
Cxcl12,Prkar1a,Cxcl12
Dbi,Ptprt,Dbi
Dlgap1,Pvrl3,Dlgap1
Dscaml1,Rap1b,Dscaml1
Flot1,Rdx,Flot1
Gria1,Shisa8,Gria1
Gria2,Slitrk2,Gria2
Hrh1,Snap47,Hrh1
Il12a,Syn1,Il12a
Itgav,Syne1,Itgav
Lgi1,Syp,Lgi1
Mapt,Tnfrsf21,Mapt
Negr1,Tshz3,Negr1
Npnt,Usp46,Npnt
Nr3c2,Tenm2,Nr3c2
Pcdh8,Mme,Pcdh8
Pten,Rasgrf1,Pten
Reln,Akt1,Reln
Robo1,Cacnb4,Robo1
Slc1a1,Camk2d,Slc1a1
Slc4a10,Dmtn,Slc4a10
Astn1,Grm5,Astn1
Crhr1,Ica1,Crhr1
Efna5,Kctd13,Efna5
Gpc6,Lrrk2,Gpc6
Myo5b,Mapt,Myo5b
Spr,Nr3c1,Spr
Syt12,Nsg1,Syt12
Tenm2,Pten,Tenm2
Tenm4,Selk,Tenm4
Bcl2,Jak1,Bcl2
Cdk5,,Cdk5
Dnajb6,,Dnajb6
Efnb2,,Efnb2
Homer1,,Homer1
Magi2,,Magi2
Ptprf,,Ptprf
Rims2,,Rims2
Tnr,,Tnr
Vgf,,Vgf
Dlg1,,Dlg1
Mbp,,Mbp
Ntrk2,,Ntrk2
Atf4,,Atf4
Clstn2,,Clstn2
Cplx3,,Cplx3
Pacsin2,,Pacsin2
App,,App
Atp2b2,,Atp2b2
Bscl2,,Bscl2
Cntn6,,Cntn6
Emb,,Emb
Gnai1,,Gnai1
Igfbp2,,Igfbp2
Pink1,,Pink1
Ppp1r9a,,Ppp1r9a
Prkar1a,,Prkar1a
Stx4a,,Stx4a
Tenm3,,Tenm3
Snap25,,Snap25
Atp2c1,,Atp2c1
Cux2,,Cux2
Glra3,,Glra3
Igfn1,,Igfn1
Lgmn,,Lgmn
Lmo7,,Lmo7
Lrrk2,,Lrrk2
Myadm,,Myadm
Peli1,,Peli1
Phip,,Phip
Ptprm,,Ptprm
Rin1,,Rin1
Sipa1l1,,Sipa1l1
Tmem25,,Tmem25
Vmp1,,Vmp1
Btbd9,,Btbd9
Cckbr,,Cckbr
Chrna6,,Chrna6
Clstn1,,Clstn1
Fmr1,,Fmr1
Grik2,,Grik2
Pfn2,,Pfn2
Shank1,,Shank1
Cdh18,,Cdh18
Ephb1,,Ephb1
Kirrel3,,Kirrel3
Cacng2,,Cacng2
Igsf9b,,Igsf9b
Kalrn,,Kalrn
Nr4a3,,Nr4a3
Sybu,,Sybu
Cdh6,,Cdh6
Ctnnb1,,Ctnnb1
Nr3c1,,Nr3c1
Syt7,,Syt7
Stxbp5,,Stxbp5
,,Calb2
,,Car2
,,Cd164
,,Cnih2
,,Cntn5
,,Cntnap4
,,Crh
,,Dscam
,,Dusp10
,,Erbb4
,,Gabbr1
,,Gnai2
,,Grin3a
,,Grm1
,,Igf1
,,Il1rap
,,Kcnc4
,,Lgals1
,,Lrrc4
,,Lrrc7
,,Ncam1
,,Ngf
,,Nos1
,,Oxtr
,,Pcdh18
,,Pde5a
,,Ptpru
,,Rgcc
,,Shisa6
,,Shisa9
,,Slc6a1
,,Slit2
,,Tac1
,,Tac2
,,Unc13c
,,Ank3
,,Asic1
,,Bsg
,,Cacng5
,,Camk2b
,,Cd24a
,,Chat
,,Cited2
,,Cxadr
,,Cyfip1
,,Dap3
,,Dlg2
,,Dlgap2
,,Egfr
,,Fndc3a
,,Grik1
,,Gstp1
,,Hap1
,,Hrh2
,,Htr2c
,,Kit
,,Magi1
,,Mllt4
,,Npy2r
,,Npy5r
,,Nr2e1
,,Pcdh20
,,Rab5a
,,Rock1
,,Sirpa
,,Socs5
,,Syt3
,,Tfrc
,,Wnt5a
,,Wnt7a
,,Zbtb16
,,Zmiz1
,,Amigo1
,,Chrm2
,,Clstn3
,,Parva
,,Rdx
,,Shisa8
,,Slitrk2
,,Tshz3
,,Mme
,,Akt1
,,Ica1
,,Jak1
